timestamp,run_id,scenario,step,target,status,duration_sec,message
2026-07-27T15:45:52+09:00,20260727-154552,switch-to-onprem,check_context,eks-a,FAILED,0,"exit_code=1"
2026-07-27T15:45:52+09:00,20260727-154552,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-27T15:45:52+09:00,20260727-154552,switch-to-onprem,total,switch-to-onprem,FAILED,0,"온프레미스 전환 실패 및 replica 롤백 수행"
2026-07-27T15:45:52+09:00,20260727-154552,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-27T15:46:03+09:00,20260727-154552,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,11,"completed"
2026-07-27T15:46:17+09:00,20260727-154552,provision-dr,terraform_apply_02-eks,02-eks,FAILED,14,"exit_code=1"
2026-07-27T15:46:17+09:00,20260727-154552,provision-dr,total,provision-dr,FAILED,25,"02-eks Terraform apply 실패"
2026-07-27T16:00:41+09:00,20260727-160041,switch-to-onprem,check_context,eks-a,FAILED,0,"exit_code=1"
2026-07-27T16:00:41+09:00,20260727-160041,switch-to-onprem,total,switch-to-onprem,FAILED,0,"온프레미스 전환 실패 및 replica 롤백 수행"
2026-07-27T16:00:42+09:00,20260727-160041,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-27T16:00:42+09:00,20260727-160041,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-27T16:00:47+09:00,20260727-160041,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,5,"completed"
2026-07-27T16:01:02+09:00,20260727-160041,provision-dr,terraform_apply_02-eks,02-eks,FAILED,14,"exit_code=1"
2026-07-27T16:01:02+09:00,20260727-160041,provision-dr,total,provision-dr,FAILED,21,"02-eks Terraform apply 실패"
2026-07-27T16:04:34+09:00,20260727-160434,switch-to-onprem,check_context,eks-a,FAILED,0,"exit_code=1"
2026-07-27T16:04:35+09:00,20260727-160434,switch-to-onprem,total,switch-to-onprem,FAILED,1,"온프레미스 전환 실패 및 replica 롤백 수행"
2026-07-27T16:04:35+09:00,20260727-160434,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,1,"completed"
2026-07-27T16:04:35+09:00,20260727-160434,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-27T16:04:40+09:00,20260727-160434,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,5,"completed"
2026-07-27T16:04:51+09:00,20260727-160434,provision-dr,terraform_apply_02-eks,02-eks,FAILED,11,"exit_code=1"
2026-07-27T16:04:51+09:00,20260727-160434,provision-dr,total,provision-dr,FAILED,17,"02-eks Terraform apply 실패"
2026-07-27T16:05:51+09:00,20260727-160551,switch-to-onprem,check_context,eks-a,FAILED,0,"exit_code=1"
2026-07-27T16:05:51+09:00,20260727-160551,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-27T16:05:51+09:00,20260727-160551,switch-to-onprem,total,switch-to-onprem,FAILED,0,"온프레미스 전환 실패 및 replica 롤백 수행"
2026-07-27T16:05:52+09:00,20260727-160551,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,1,"completed"
2026-07-27T16:05:58+09:00,20260727-160551,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,6,"completed"
2026-07-27T16:06:12+09:00,20260727-160551,provision-dr,terraform_apply_02-eks,02-eks,FAILED,13,"exit_code=1"
2026-07-27T16:06:12+09:00,20260727-160551,provision-dr,total,provision-dr,FAILED,21,"02-eks Terraform apply 실패"
